"school_id","name","avg_star","concussions2015"
1,"Allen",3.96,22
2,"North Mesquite",3.96,5
5,"Mesquite Horn",3.83,11
6,"West Mesquite",4.37,17
7,"Mesquite",4.06,11
8,"Mesquite Poteet",4.32,7
9,"Greenville",3.92,6
10,"Madison",4.13,3
11,"Aledo",4.59,15
12,"Kaufman",3.9,4
14,"Corsicana",4.36,8
15,"Cedar Hill",4.82,12
17,"McKinney",4.44,15
18,"McKinney Boyd",4.25,15
19,"Waxahachie",3.65,10
20,"Rockwall",4.21,11
21,"Rockwall Heath",4.3,14
22,"McKinney North",4.45,9
23,"Denton",3.96,3
24,"Denton Ryan",4.72,0
25,"Denton Guyer",4.67,7
26,"Colleyville Heritage",4.33,8
27,"Highland Park",3.92,17
28,"Keller Central",3.94,15
29,"Keller Fossil Ridge",4.93,7
30,"Keller",4.2,10
31,"Keller Timber Creek",4.54,20
37,"Southlake Carroll",4.29,17
38,"Grapevine",4.49,10
42,"North Crowley",4.87,3
43,"Crowley",4.98,3
44,"Conrad",4.25,2
45,"Woodrow Wilson",4.71,5
47,"Arlington Bowie",4.78,18
48,"Arlington High",5,17
49,"Arlington Lamar",4.89,9
50,"Arlington Martin",4.26,20
51,"Arlington Sam Houston",4.08,13
52,"Arlington Seguin",4.24,5
54,"Crandall",3.68,8
55,"Garland High",3.37,2
56,"Rowlett",4.32,5
57,"Sachse",3.64,9
58,"South Garland",4.54,4
59,"North Garland",4.18,3
61,"Euless Trinity",4.5,4
62,"Hurst L.D. Bell",4.64,5
63,"Lancaster",5,3
64,"Melissa",3.77,11
66,"Little Elm",4.38,14
71,"Northwest Eaton",4,8
72,"Seagoville",3,8
74,"Anna",4.72,0
75,"Aubrey",4.51,5
76,"Celina",4.8,0
77,"Community",4.53,7
82,"Prosper",4.13,9
83,"Sunnyvale",4.47,6
84,"Royse City",5,2
95,"Forney",4.21,7
96,"Carrollton Creekview",4.52,0
97,"Carrollton Ranchview",4.7,8
98,"Carrollton Newman Smith",4.69,0
99,"Carrollton R.L. Turner",4.44,3
100,"Lakeview Centennial",3.2,2
101,"Naaman Forest",3.72,2
102,"Frisco Reedy",4.8,6
103,"Frisco Wakeland",4.56,14
104,"Frisco Liberty",4.22,1
106,"Frisco",4.57,13
107,"Frisco Independence",4.02,5
108,"Frisco Lone Star",4.42,5
109,"Frisco Centennial",4.76,4
110,"Sanger",4.64,4
112,"Bryan Adams",5,6
116,"Kimball",5,9
128,"Argyle",4.55,3
131,"Princeton",5,2
137,"Lewisville",4,20
138,"Flower Mound Marcus",4.13,16
139,"The Colony",3.54,6
141,"Flower Mound",4.03,33
147,"Irving Nimitz",4.16,10
148,"Irving",4.3,11
149,"Irving MacArthur",4.16,2
163,"Kennedale",4.52,7
